City,highest_expense_type,lowest_expense_type
"Thiruvarur, India",Grocery,Entertainment
"Rawatbhata, India",Grocery,Entertainment
"Wankaner, India",Food,Bills
"New Delhi, India",Fuel,Bills
"Pandharpur, India",Grocery,Bills
"Memari, India",Grocery,Entertainment
"Ramachandrapuram, India",Grocery,Bills
"Ratangarh, India",Fuel,Entertainment
"Thanesar, India",Grocery,Fuel
"Lunglei, India",Grocery,Entertainment
"Mansa, India",Grocery,Bills
"Puranpur, India",Fuel,Bills
"Nabadwip, India",Grocery,Bills
"English Bazar, India",Grocery,Entertainment
"Yawal, India",Fuel,Bills
"Puttur, India",Grocery,Bills
"Adityapur, India",Grocery,Entertainment
"Thiruvallur, India",Grocery,Entertainment
"Kannur, India",Grocery,Bills
"Pithampur, India",Grocery,Entertainment
"Tharamangalam, India",Grocery,Entertainment
"Adoni, India",Grocery,Bills
"Gooty, India",Grocery,Bills
"Dumka, India",Fuel,Bills
"Tasgaon, India",Grocery,Bills
"Marmagao, India",Grocery,Bills
"Shahpur, India",Food,Bills
"Lucknow, India",Travel,Bills
"Arakkonam, India",Grocery,Bills
"Palladam, India",Fuel,Entertainment
"Ajmer, India",Fuel,Bills
"Amravati, India",Grocery,Bills
"Ujjain, India",Fuel,Food
"Sindhnur, India",Grocery,Bills
"Vikarabad, India",Food,Entertainment
"Gurdaspur, India",Food,Bills
"Satana, India",Grocery,Bills
"Tiruvannamalai, India",Grocery,Entertainment
"Lakhimpur, India",Fuel,Entertainment
"Tilda Newra, India",Grocery,Food
"Naila Janjgir, India",Grocery,Bills
"Darbhanga, India",Grocery,Bills
"Lanka, India",Grocery,Bills
"Hyderabad, India",Travel,Bills
"Sonepur, India",Fuel,Bills
"Rasipuram, India",Food,Entertainment
"Wardha, India",Grocery,Bills
"Moga, India",Grocery,Bills
"Perinthalmanna, India",Grocery,Bills
"Amalner, India",Food,Bills
"Jabalpur, India",Grocery,Bills
"Dibrugarh, India",Grocery,Bills
"Tumsar, India",Grocery,Bills
"Vadodara, India",Grocery,Bills
"Karnal, India",Grocery,Entertainment
"Amreli, India",Grocery,Entertainment
"Wadgaon Road, India",Grocery,Bills
"Talegaon Dabhade, India",Grocery,Bills
"Rawatsar, India",Grocery,Entertainment
"Tanuku, India",Grocery,Bills
"Bhadrachalam, India",Grocery,Bills
"Vadipatti, India",Bills,Bills
"Yerraguntla, India",Grocery,Bills
"Robertson Pet, India",Fuel,Bills
"Neyyattinkara, India",Grocery,Bills
"Charkhi Dadri, India",Grocery,Bills
"Dhanbad, India",Grocery,Bills
"Musabani, India",Grocery,Bills
"Mhow Cantonment, India",Grocery,Bills
"Talcher, India",Grocery,Bills
"Nangal, India",Grocery,Bills
"Keshod, India",Grocery,Bills
"Tuensang, India",Grocery,Fuel
"Naharlagun, India",Fuel,Bills
"Bhongir, India",Grocery,Bills
"Sambhal, India",Fuel,Bills
"Sehore, India",Fuel,Bills
"Patti, India",Grocery,Food
"Malappuram, India",Fuel,Bills
"Porsa, India",Fuel,Bills
"Sasvad, India",Grocery,Bills
"Chirala, India",Grocery,Entertainment
"Tanda, India",Grocery,Bills
"Patan, India",Fuel,Entertainment
"Nagpur, India",Fuel,Bills
"Rajagangapur, India",Grocery,Bills
"Nawanshahr, India",Grocery,Bills
"Wadi, India",Fuel,Bills
"Mandideep, India",Grocery,Bills
"Sholingur, India",Grocery,Bills
"Gudivada, India",Grocery,Bills
"Bhatapara, India",Food,Bills
"Ichalkaranji, India",Grocery,Entertainment
"Revelganj, India",Grocery,Bills
"Yanam, India",Grocery,Bills
"Akola, India",Grocery,Bills
"Ramnagar, India",Grocery,Bills
"Alirajpur, India",Entertainment,Entertainment
"Gohana, India",Grocery,Entertainment
"Lakhisarai, India",Fuel,Bills
"Sikandrabad, India",Fuel,Bills
"Maihar, India",Grocery,Bills
"Dhenkanal, India",Grocery,Bills
"Vandavasi, India",Grocery,Bills
"Sugauli, India",Grocery,Entertainment
"Firozpur, India",Grocery,Entertainment
"Umreth, India",Grocery,Entertainment
"Gobindgarh, India",Fuel,Bills
"Jamshedpur, India",Grocery,Bills
"Sircilla, India",Grocery,Bills
"Yemmiganur, India",Food,Bills
"Karimganj, India",Fuel,Bills
"Sitamarhi, India",Grocery,Bills
"Chirkunda, India",Grocery,Entertainment
"Pollachi, India",Grocery,Bills
"Mussoorie, India",Grocery,Entertainment
"Saharsa, India",Grocery,Bills
"Yevla, India",Fuel,Entertainment
"Mandla, India",Grocery,Bills
"Pappinisseri, India",Food,Bills
"Noorpur, India",Grocery,Bills
"Rajsamand, India",Grocery,Bills
"Paramakudi, India",Grocery,Bills
"Pihani, India",Grocery,Entertainment
"Sivakasi, India",Grocery,Bills
"Manuguru, India",Food,Entertainment
"Shivpuri, India",Food,Bills
"Sarangpur, India",Grocery,Bills
"Ranavav, India",Grocery,Bills
"Medininagar (Daltonganj), India",Grocery,Entertainment
"Arsikere, India",Grocery,Bills
"Jhargram, India",Grocery,Bills
"Ujhani, India",Fuel,Entertainment
"Rajgarh (Churu), India",Grocery,Bills
"Neem-Ka-Thana, India",Grocery,Bills
"Narsinghgarh, India",Grocery,Bills
"Phalodi, India",Grocery,Bills
"Nagarkurnool, India",Grocery,Bills
"Bhainsa, India",Grocery,Bills
"Nagari, India",Grocery,Food
"Jammu, India",Grocery,Bills
"Pudukkottai, India",Grocery,Entertainment
"Amalapuram, India",Grocery,Bills
"Sangole, India",Grocery,Bills
"Mandi, India",Fuel,Entertainment
"Yadgir, India",Food,Bills
"Panvel, India",Fuel,Bills
"Lingsugur, India",Grocery,Entertainment
"Goalpara, India",Grocery,Bills
"Kolkata, India",Travel,Bills
"Kalimpong, India",Fuel,Bills
"Vijainagar Ajmer, India",Grocery,Entertainment
"Tonk, India",Food,Bills
"Sambalpur, India",Grocery,Bills
"Malegaon, India",Grocery,Bills
"Merta City, India",Grocery,Entertainment
"Adilabad, India",Grocery,Bills
"Tiruchirappalli, India",Grocery,Food
"Bettiah, India",Grocery,Fuel
"Titlagarh, India",Fuel,Entertainment
"Mathura, India",Grocery,Entertainment
"Gumia, India",Grocery,Bills
"Muvattupuzha, India",Grocery,Bills
"Vellakoil, India",Grocery,Food
"Modasa, India",Grocery,Bills
"Phaltan, India",Grocery,Food
"Rath, India",Grocery,Food
"Giridih, India",Grocery,Bills
"Nanpara, India",Grocery,Food
"Rajkot, India",Grocery,Bills
"Karwar, India",Fuel,Bills
"Tikamgarh, India",Grocery,Entertainment
"Tirukkoyilur, India",Grocery,Entertainment
"Firozpur Cantt., India",Grocery,Entertainment
"Baramula, India",Grocery,Bills
"Kohima, India",Grocery,Food
"Agartala, India",Grocery,Entertainment
"Salem, India",Grocery,Bills
"Nilanga, India",Grocery,Bills
"Tekkalakote, India",Fuel,Bills
"Umarkhed, India",Fuel,Entertainment
"Utraula, India",Grocery,Bills
"Modinagar, India",Food,Entertainment
"Bhilai Nagar, India",Grocery,Bills
"Manvi, India",Grocery,Bills
"Sankeshwara, India",Fuel,Bills
"Balangir, India",Grocery,Entertainment
"Suratgarh, India",Grocery,Entertainment
"Peringathur, India",Fuel,Bills
"Pathankot, India",Grocery,Entertainment
"Ozar, India",Food,Bills
"Narsipatnam, India",Food,Bills
"Rajnandgaon, India",Grocery,Entertainment
"Begusarai, India",Grocery,Entertainment
"Bilaspur, India",Grocery,Fuel
"Gobichettipalayam, India",Food,Bills
"Etawah, India",Grocery,Bills
"Supaul, India",Fuel,Bills
"Araria, India",Grocery,Bills
"Nabha, India",Grocery,Bills
"Santipur, India",Grocery,Bills
"Thoubal, India",Fuel,Bills
"Satara, India",Fuel,Bills
"Lakshmeshwar, India",Fuel,Bills
"Haldwani-cum-Kathgodam, India",Grocery,Entertainment
"Ramgarh, India",Fuel,Bills
"Nellore, India",Grocery,Bills
"Nagda, India",Grocery,Entertainment
"Tuljapur, India",Grocery,Bills
"Varanasi, India",Grocery,Grocery
"Shimla, India",Grocery,Bills
"Sumerpur, India",Grocery,Bills
"Saundatti-Yellamma, India",Fuel,Bills
"Bhabua, India",Grocery,Bills
"Mulbagal, India",Entertainment,Bills
"Sopore, India",Food,Bills
"Tiruvethipuram, India",Grocery,Bills
"Palia Kalan, India",Fuel,Bills
"Sangaria, India",Grocery,Bills
"Alipurduar, India",Fuel,Bills
"Shoranur, India",Entertainment,Bills
"Siwan, India",Grocery,Bills
"Gopalganj, India",Food,Bills
"Lachhmangarh, India",Grocery,Entertainment
"Pilibhit, India",Fuel,Bills
"Vidisha, India",Grocery,Bills
"Margao, India",Grocery,Bills
"Manendragarh, India",Fuel,Entertainment
"Sangamner, India",Grocery,Bills
"Gangarampur, India",Grocery,Bills
"Vaijapur, India",Grocery,Bills
"Nokha, India",Grocery,Bills
"Raisen, India",Grocery,Bills
"Thirumangalam, India",Grocery,Bills
"Surandai, India",Fuel,Bills
"Raghogarh-Vijaypur, India",Grocery,Bills
"Dhoraji, India",Fuel,Food
"Gadwal, India",Fuel,Bills
"Ladnu, India",Grocery,Bills
"Purnia, India",Grocery,Bills
"Madhugiri, India",Grocery,Entertainment
"Sheopur, India",Fuel,Bills
"Makrana, India",Grocery,Bills
"Kunnamkulam, India",Grocery,Bills
"Rampur, India",Fuel,Bills
"Purulia, India",Grocery,Bills
"Athni, India",Fuel,Bills
"Gudur, India",Fuel,Bills
"Rasra, India",Grocery,Entertainment
"Vaniyambadi, India",Grocery,Fuel
"Wokha, India",Food,Bills
"Valparai, India",Fuel,Bills
"Valsad, India",Grocery,Bills
"Hardoi , India",Grocery,Entertainment
"Karaikal, India",Food,Bills
"Morena, India",Fuel,Bills
"Kovvur, India",Fuel,Bills
"Bahadurgarh, India",Grocery,Bills
"Baharampur, India",Grocery,Bills
"Suri, India",Grocery,Food
"Nakodar, India",Fuel,Entertainment
"Sedam, India",Grocery,Entertainment
"Thiruvalla, India",Grocery,Entertainment
"Pathanamthitta, India",Grocery,Bills
"Sirsi, India",Grocery,Bills
"Soro, India",Fuel,Entertainment
"Zamania, India",Grocery,Bills
"Rajgir, India",Grocery,Bills
"Masaurhi, India",Food,Bills
"Darjiling, India",Food,Entertainment
"Ganjbasoda, India",Grocery,Entertainment
"Bhimavaram, India",Grocery,Bills
"Tinsukia, India",Grocery,Bills
"Panchkula, India",Grocery,Entertainment
